Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,0.0,Non-Travel,845,Sales,1,5,Medical,1,4,Female,25.0 - 50.0,3,2,Sales Executive,4,Single,5000.0 - 10000.0,13500.0 - 20249.0,4,Y,False,12.0 - 19.0,3,2,80,0,7,6,3,1,0,0,0
32,0.0,Travel_Rarely,427,Research & Development,1,3,Medical,1,1,Male,25.0 - 50.0,3,2,Manufacturing Director,4,Married,5000.0 - 10000.0,6750.0 - 13500.0,1,Y,True,19.0 - 25.0,4,2,80,1,9,3,3,9,8,7,8
28,0.0,Non-Travel,120,Sales,4,3,Medical,1,2,Male,25.0 - 50.0,3,2,Sales Executive,3,Married,0.0 - 5000.0,6750.0 - 13500.0,1,Y,False,12.0 - 19.0,3,2,80,0,5,3,4,5,4,0,4
31,1.0,Travel_Rarely,249,Sales,6,4,Life Sciences,1,2,Male,75.0 - 100.0,1,2,Sales Executive,3,Married,5000.0 - 10000.0,20249.0 - 26999.0,4,Y,True,12.0 - 19.0,3,2,80,0,12,3,2,7,7,7,7
50,0.0,Travel_Rarely,316,Sales,8,4,Marketing,1,4,Male,50.0 - 75.0,3,1,Sales Representative,2,Married,0.0 - 5000.0,6750.0 - 13500.0,7,Y,False,12.0 - 19.0,3,4,80,1,4,2,3,2,2,2,2
39,0.0,Travel_Rarely,1132,Research & Development,1,3,Medical,1,3,Male,25.0 - 50.0,4,3,Healthcare Representative,4,Divorced,5000.0 - 10000.0,6750.0 - 13500.0,0,Y,False,12.0 - 19.0,3,1,80,3,19,5,2,18,10,3,7
35,0.0,Travel_Rarely,809,Research & Development,16,3,Medical,1,1,Male,75.0 - 100.0,4,1,Laboratory Technician,2,Married,0.0 - 5000.0,13500.0 - 20249.0,0,Y,False,12.0 - 19.0,3,3,80,1,6,5,3,5,4,0,3
32,0.0,Travel_Frequently,379,Sales,5,2,Life Sciences,1,2,Male,25.0 - 50.0,3,2,Sales Executive,2,Married,5000.0 - 10000.0,6750.0 - 13500.0,1,Y,False,12.0 - 19.0,3,4,80,1,10,3,3,10,8,5,3
26,1.0,Travel_Rarely,1330,Research & Development,21,3,Medical,1,1,Male,25.0 - 50.0,3,1,Laboratory Technician,3,Divorced,0.0 - 5000.0,13500.0 - 20249.0,1,Y,False,19.0 - 25.0,4,3,80,1,1,0,2,1,1,0,0
30,0.0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,3,Male,75.0 - 100.0,2,2,Healthcare Representative,4,Married,0.0 - 5000.0,13500.0 - 20249.0,1,Y,False,12.0 - 19.0,3,1,80,3,11,3,3,11,10,10,8
38,0.0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,4,Male,25.0 - 50.0,2,3,Manufacturing Director,3,Single,5000.0 - 10000.0,6750.0 - 13500.0,0,Y,False,19.0 - 25.0,4,2,80,0,10,2,3,9,7,1,8
21,0.0,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,3,Male,25.0 - 50.0,3,1,Sales Representative,3,Single,0.0 - 5000.0,20249.0 - 26999.0,1,Y,False,6.0 - 12.0,3,3,80,0,3,2,3,3,2,1,2
35,0.0,Travel_Rarely,950,Research & Development,7,3,Other,1,3,Male,50.0 - 75.0,3,3,Manufacturing Director,3,Single,10000.0 - 14999.0,13500.0 - 20249.0,3,Y,False,19.0 - 25.0,4,2,80,0,17,3,4,8,5,1,6
26,0.0,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,3,Female,75.0 - 100.0,3,2,Manufacturing Director,2,Divorced,5000.0 - 10000.0,20249.0 - 26999.0,1,Y,False,19.0 - 25.0,4,1,80,1,6,6,1,6,5,1,4
31,1.0,Travel_Frequently,523,Research & Development,2,3,Life Sciences,1,2,Male,75.0 - 100.0,3,1,Laboratory Technician,4,Married,0.0 - 5000.0,20249.0 - 26999.0,6,Y,True,12.0 - 19.0,3,3,80,1,7,2,1,2,2,2,2
32,0.0,Travel_Rarely,1062,Research & Development,2,3,Medical,1,3,Female,50.0 - 75.0,3,1,Laboratory Technician,2,Married,0.0 - 5000.0,0.0 - 6750.0,1,Y,False,12.0 - 19.0,3,3,80,1,8,4,3,8,0,0,7
32,0.0,Travel_Rarely,929,Sales,10,3,Marketing,1,4,Male,50.0 - 75.0,3,2,Sales Executive,4,Single,5000.0 - 10000.0,20249.0 - 26999.0,1,Y,False,6.0 - 12.0,3,4,80,0,10,2,2,10,7,0,8
34,0.0,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,4,Male,50.0 - 75.0,2,1,Research Scientist,3,Divorced,0.0 - 5000.0,6750.0 - 13500.0,3,Y,False,6.0 - 12.0,3,3,80,1,14,3,3,7,3,5,7
33,0.0,Travel_Frequently,553,Research & Development,5,4,Life Sciences,1,4,Female,50.0 - 75.0,3,3,Manager,2,Married,10000.0 - 14999.0,20249.0 - 26999.0,6,Y,False,6.0 - 12.0,3,2,80,2,12,2,3,10,6,8,8
47,0.0,Travel_Rarely,983,Research & Development,2,2,Medical,1,1,Female,50.0 - 75.0,3,2,Manufacturing Director,4,Divorced,5000.0 - 10000.0,6750.0 - 13500.0,5,Y,False,12.0 - 19.0,3,3,80,3,20,2,3,5,0,0,4
30,0.0,Travel_Rarely,921,Research & Development,1,3,Life Sciences,1,4,Male,25.0 - 50.0,1,1,Laboratory Technician,3,Married,0.0 - 5000.0,20249.0 - 26999.0,3,Y,False,19.0 - 25.0,4,3,80,2,7,2,3,2,2,0,2
58,0.0,Travel_Rarely,1145,Research & Development,9,3,Medical,1,2,Female,50.0 - 75.0,2,1,Research Scientist,2,Married,0.0 - 5000.0,6750.0 - 13500.0,4,Y,True,19.0 - 25.0,4,2,80,1,9,3,2,1,0,0,0
37,1.0,Travel_Rarely,625,Sales,1,4,Life Sciences,1,1,Male,25.0 - 50.0,2,3,Sales Executive,3,Married,10000.0 - 14999.0,13500.0 - 20249.0,5,Y,False,6.0 - 12.0,3,3,80,0,17,2,1,14,1,11,7
38,0.0,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,1,3,Female,50.0 - 75.0,3,1,Laboratory Technician,4,Single,0.0 - 5000.0,0.0 - 6750.0,1,Y,False,6.0 - 12.0,3,3,80,0,2,3,3,2,2,2,1
43,1.0,Travel_Rarely,1372,Sales,9,3,Marketing,1,1,Female,75.0 - 100.0,1,2,Sales Executive,3,Single,5000.0 - 10000.0,6750.0 - 13500.0,8,Y,False,12.0 - 19.0,3,2,80,0,7,2,2,4,3,1,3
52,0.0,Travel_Frequently,322,Research & Development,28,2,Medical,1,4,Female,50.0 - 75.0,4,4,Manufacturing Director,3,Married,10000.0 - 14999.0,6750.0 - 13500.0,2,Y,True,6.0 - 12.0,3,2,80,1,24,3,2,5,3,0,2
44,0.0,Travel_Rarely,1488,Sales,1,5,Marketing,1,2,Female,50.0 - 75.0,3,2,Sales Executive,1,Divorced,5000.0 - 10000.0,0.0 - 6750.0,5,Y,True,19.0 - 25.0,4,3,80,1,9,2,2,4,3,1,3
59,0.0,Travel_Rarely,142,Research & Development,3,3,Life Sciences,1,3,Male,50.0 - 75.0,2,1,Research Scientist,4,Married,0.0 - 5000.0,6750.0 - 13500.0,3,Y,False,12.0 - 19.0,3,1,80,1,7,6,3,1,0,0,0
42,0.0,Non-Travel,926,Research & Development,21,2,Medical,1,3,Female,25.0 - 50.0,3,2,Manufacturing Director,3,Divorced,5000.0 - 10000.0,13500.0 - 20249.0,2,Y,False,12.0 - 19.0,3,2,80,1,11,5,3,5,3,0,2
45,0.0,Travel_Rarely,561,Sales,2,3,Other,1,4,Male,50.0 - 75.0,3,2,Sales Executive,2,Married,0.0 - 5000.0,13500.0 - 20249.0,0,Y,False,12.0 - 19.0,3,2,80,1,9,3,4,8,7,3,7
21,1.0,Travel_Rarely,1427,Research & Development,18,1,Other,1,4,Female,50.0 - 75.0,3,1,Research Scientist,4,Single,0.0 - 5000.0,6750.0 - 13500.0,1,Y,False,12.0 - 19.0,3,1,80,0,1,3,2,1,0,0,0
23,0.0,Travel_Rarely,885,Research & Development,4,3,Medical,1,1,Male,50.0 - 75.0,4,1,Research Scientist,1,Married,0.0 - 5000.0,6750.0 - 13500.0,2,Y,False,12.0 - 19.0,3,1,80,1,5,3,4,3,2,0,2
54,0.0,Travel_Rarely,1147,Sales,3,3,Marketing,1,4,Female,50.0 - 75.0,3,2,Sales Executive,1,Married,5000.0 - 10000.0,13500.0 - 20249.0,2,Y,False,12.0 - 19.0,3,4,80,1,16,4,3,6,2,0,5
41,0.0,Travel_Rarely,509,Research & Development,7,2,Technical Degree,1,2,Female,25.0 - 50.0,4,1,Research Scientist,3,Married,0.0 - 5000.0,13500.0 - 20249.0,1,Y,False,12.0 - 19.0,3,3,80,0,10,3,3,10,6,0,8
45,0.0,Travel_Rarely,1038,Research & Development,20,3,Medical,1,2,Male,75.0 - 100.0,1,3,Healthcare Representative,1,Divorced,10000.0 - 14999.0,13500.0 - 20249.0,2,Y,True,12.0 - 19.0,3,2,80,1,24,2,3,7,7,0,7
45,0.0,Non-Travel,1052,Sales,6,3,Medical,1,4,Female,50.0 - 75.0,2,3,Sales Executive,4,Single,5000.0 - 10000.0,13500.0 - 20249.0,6,Y,False,6.0 - 12.0,3,4,80,0,23,2,3,19,7,12,8
55,0.0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,1,Male,50.0 - 75.0,3,3,Sales Executive,4,Married,10000.0 - 14999.0,13500.0 - 20249.0,3,Y,False,12.0 - 19.0,3,4,80,1,24,4,3,1,0,1,0
34,0.0,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,1,4,Male,25.0 - 50.0,2,2,Manufacturing Director,3,Married,5000.0 - 10000.0,13500.0 - 20249.0,1,Y,False,12.0 - 19.0,3,3,80,0,10,2,2,10,9,1,9
57,0.0,Travel_Rarely,405,Research & Development,1,2,Life Sciences,1,2,Male,75.0 - 100.0,4,2,Research Scientist,3,Married,0.0 - 5000.0,0.0 - 6750.0,0,Y,False,19.0 - 25.0,4,1,80,1,13,2,2,12,9,2,8
33,0.0,Travel_Rarely,147,Research & Development,4,4,Medical,1,3,Female,25.0 - 50.0,2,1,Research Scientist,2,Married,0.0 - 5000.0,6750.0 - 13500.0,6,Y,False,19.0 - 25.0,4,4,80,0,7,3,3,3,2,1,1
32,0.0,Non-Travel,300,Research & Development,1,3,Life Sciences,1,4,Male,50.0 - 75.0,3,1,Laboratory Technician,4,Divorced,0.0 - 5000.0,6750.0 - 13500.0,0,Y,False,6.0 - 12.0,3,2,80,1,4,2,3,3,0,0,2
21,1.0,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,1,Female,25.0 - 50.0,2,1,Laboratory Technician,3,Single,0.0 - 5000.0,20249.0 - 26999.0,1,Y,False,19.0 - 25.0,4,3,80,0,2,2,1,2,2,2,2
34,1.0,Travel_Frequently,296,Sales,6,2,Marketing,1,4,Female,25.0 - 50.0,1,1,Sales Representative,3,Divorced,0.0 - 5000.0,6750.0 - 13500.0,0,Y,False,12.0 - 19.0,3,4,80,1,3,3,2,2,2,1,0
27,0.0,Travel_Frequently,1242,Sales,20,3,Life Sciences,1,4,Female,75.0 - 100.0,3,2,Sales Executive,3,Single,5000.0 - 10000.0,6750.0 - 13500.0,1,Y,False,12.0 - 19.0,3,4,80,0,7,2,3,7,7,0,7
36,0.0,Travel_Rarely,917,Research & Development,6,4,Life Sciences,1,3,Male,50.0 - 75.0,1,1,Laboratory Technician,3,Divorced,0.0 - 5000.0,6750.0 - 13500.0,1,Y,False,12.0 - 19.0,3,3,80,1,7,4,3,7,7,1,7
41,1.0,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,2,Female,25.0 - 50.0,3,5,Research Director,3,Married,14999.0 - 19999.0,13500.0 - 20249.0,1,Y,False,6.0 - 12.0,3,4,80,0,23,0,3,22,15,15,8
33,0.0,Travel_Frequently,1296,Research & Development,6,3,Life Sciences,1,3,Male,25.0 - 50.0,3,2,Healthcare Representative,4,Divorced,5000.0 - 10000.0,0.0 - 6750.0,3,Y,False,19.0 - 25.0,4,3,80,1,15,2,1,13,11,4,7
18,1.0,Non-Travel,247,Research & Development,8,1,Medical,1,3,Male,75.0 - 100.0,3,1,Laboratory Technician,3,Single,0.0 - 5000.0,13500.0 - 20249.0,1,Y,False,6.0 - 12.0,3,4,80,0,0,0,3,0,0,0,0
27,0.0,Travel_Rarely,894,Research & Development,9,3,Medical,1,4,Female,75.0 - 100.0,3,1,Research Scientist,2,Single,0.0 - 5000.0,6750.0 - 13500.0,1,Y,False,12.0 - 19.0,3,4,80,0,7,2,2,7,7,0,3
22,0.0,Travel_Rarely,1230,Research & Development,1,2,Life Sciences,1,4,Male,25.0 - 50.0,2,2,Manufacturing Director,4,Married,0.0 - 5000.0,13500.0 - 20249.0,6,Y,False,19.0 - 25.0,4,1,80,2,4,2,1,2,2,2,2
33,1.0,Travel_Rarely,813,Research & Development,14,3,Medical,1,3,Male,50.0 - 75.0,3,1,Laboratory Technician,4,Married,0.0 - 5000.0,20249.0 - 26999.0,5,Y,True,12.0 - 19.0,3,3,80,1,8,2,1,5,4,0,4
42,0.0,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,1,4,Female,75.0 - 100.0,2,2,Healthcare Representative,4,Married,0.0 - 5000.0,0.0 - 6750.0,0,Y,False,6.0 - 12.0,3,4,80,3,7,4,4,6,5,0,4
29,0.0,Travel_Frequently,806,Research & Development,1,4,Life Sciences,1,2,Male,75.0 - 100.0,1,1,Research Scientist,4,Divorced,0.0 - 5000.0,13500.0 - 20249.0,1,Y,False,12.0 - 19.0,3,4,80,1,10,5,3,10,7,2,8
35,0.0,Travel_Rarely,817,Research & Development,1,3,Medical,1,4,Female,50.0 - 75.0,2,2,Laboratory Technician,4,Married,5000.0 - 10000.0,6750.0 - 13500.0,0,Y,False,6.0 - 12.0,3,2,80,1,10,0,3,9,7,0,0
37,0.0,Non-Travel,142,Sales,9,4,Medical,1,1,Male,50.0 - 75.0,3,3,Sales Executive,2,Divorced,5000.0 - 10000.0,20249.0 - 26999.0,1,Y,False,12.0 - 19.0,3,4,80,1,9,6,3,9,5,7,7
52,1.0,Travel_Rarely,266,Sales,2,1,Marketing,1,1,Female,50.0 - 75.0,1,5,Manager,4,Married,14999.0 - 19999.0,20249.0 - 26999.0,1,Y,False,12.0 - 19.0,3,4,80,1,33,3,3,32,14,6,9
31,0.0,Travel_Rarely,218,Sales,7,3,Technical Degree,1,2,Male,75.0 - 100.0,4,2,Sales Executive,4,Married,5000.0 - 10000.0,6750.0 - 13500.0,4,Y,False,6.0 - 12.0,3,2,80,1,10,3,2,8,7,7,7
29,0.0,Travel_Rarely,1396,Sales,10,3,Life Sciences,1,3,Male,75.0 - 100.0,3,1,Sales Representative,3,Single,0.0 - 5000.0,0.0 - 6750.0,1,Y,False,6.0 - 12.0,3,3,80,0,1,6,3,1,0,0,0
32,1.0,Non-Travel,1474,Sales,11,4,Other,1,4,Male,50.0 - 75.0,4,2,Sales Executive,3,Married,0.0 - 5000.0,20249.0 - 26999.0,8,Y,False,6.0 - 12.0,3,4,80,0,6,2,3,4,2,1,2
35,0.0,Non-Travel,1097,Research & Development,11,2,Medical,1,3,Male,75.0 - 100.0,2,3,Healthcare Representative,1,Married,5000.0 - 10000.0,6750.0 - 13500.0,2,Y,True,12.0 - 19.0,3,3,80,1,10,3,3,4,0,2,3
43,0.0,Travel_Rarely,920,Research & Development,3,3,Life Sciences,1,3,Male,75.0 - 100.0,1,5,Research Director,4,Married,14999.0 - 19999.0,13500.0 - 20249.0,3,Y,False,12.0 - 19.0,3,2,80,1,25,2,3,8,7,0,7
33,0.0,Travel_Rarely,134,Research & Development,2,3,Life Sciences,1,3,Male,75.0 - 100.0,3,1,Research Scientist,4,Single,0.0 - 5000.0,6750.0 - 13500.0,0,Y,False,12.0 - 19.0,3,1,80,0,4,2,4,3,1,0,2
37,0.0,Travel_Rarely,309,Sales,10,4,Life Sciences,1,4,Female,75.0 - 100.0,2,2,Sales Executive,4,Divorced,5000.0 - 10000.0,20249.0 - 26999.0,2,Y,True,12.0 - 19.0,3,3,80,3,8,5,3,1,0,0,0
27,1.0,Travel_Rarely,135,Research & Development,17,4,Life Sciences,1,4,Female,50.0 - 75.0,3,1,Research Scientist,3,Single,0.0 - 5000.0,20249.0 - 26999.0,1,Y,True,12.0 - 19.0,3,4,80,0,8,2,3,8,2,7,7
28,0.0,Travel_Rarely,1451,Research & Development,2,1,Life Sciences,1,1,Male,50.0 - 75.0,2,1,Research Scientist,2,Married,0.0 - 5000.0,13500.0 - 20249.0,0,Y,False,12.0 - 19.0,3,1,80,0,6,2,1,5,3,0,4
27,0.0,Travel_Frequently,294,Research & Development,10,2,Life Sciences,1,4,Male,25.0 - 50.0,3,3,Manufacturing Director,1,Divorced,5000.0 - 10000.0,0.0 - 6750.0,1,Y,False,19.0 - 25.0,4,3,80,2,9,4,2,9,7,1,7
37,0.0,Travel_Rarely,342,Sales,16,4,Marketing,1,4,Male,50.0 - 75.0,2,2,Sales Executive,3,Divorced,5000.0 - 10000.0,20249.0 - 26999.0,4,Y,False,12.0 - 19.0,3,4,80,2,9,2,3,1,0,0,0
27,0.0,Travel_Rarely,199,Research & Development,6,3,Life Sciences,1,4,Male,50.0 - 75.0,2,1,Research Scientist,3,Married,0.0 - 5000.0,6750.0 - 13500.0,1,Y,False,12.0 - 19.0,3,3,80,1,4,0,3,4,2,2,2
37,0.0,Travel_Frequently,319,Sales,4,4,Marketing,1,1,Male,25.0 - 50.0,3,1,Sales Representative,4,Divorced,0.0 - 5000.0,0.0 - 6750.0,4,Y,False,12.0 - 19.0,3,3,80,1,13,2,3,9,8,5,8
31,0.0,Travel_Rarely,1062,Research & Development,24,3,Medical,1,3,Female,75.0 - 100.0,2,2,Healthcare Representative,1,Single,5000.0 - 10000.0,13500.0 - 20249.0,1,Y,False,12.0 - 19.0,3,2,80,0,10,2,3,10,9,1,8
48,0.0,Travel_Rarely,715,Research & Development,1,3,Life Sciences,1,4,Male,75.0 - 100.0,2,5,Research Director,4,Single,14999.0 - 19999.0,6750.0 - 13500.0,6,Y,False,6.0 - 12.0,3,3,80,0,25,3,4,1,0,0,0
36,0.0,Travel_Rarely,676,Research & Development,1,3,Other,1,3,Female,25.0 - 50.0,3,2,Manufacturing Director,2,Married,5000.0 - 10000.0,20249.0 - 26999.0,0,Y,False,12.0 - 19.0,3,1,80,1,10,2,3,9,7,0,5
37,0.0,Travel_Rarely,977,Research & Development,1,3,Life Sciences,1,4,Female,50.0 - 75.0,2,2,Manufacturing Director,4,Married,5000.0 - 10000.0,6750.0 - 13500.0,1,Y,False,12.0 - 19.0,3,2,80,1,14,2,2,14,8,3,11
38,0.0,Travel_Rarely,702,Sales,1,4,Life Sciences,1,1,Female,50.0 - 75.0,2,2,Sales Executive,4,Single,5000.0 - 10000.0,6750.0 - 13500.0,4,Y,False,19.0 - 25.0,4,3,80,0,12,2,4,8,3,0,7
32,0.0,Travel_Rarely,117,Sales,13,4,Life Sciences,1,2,Male,50.0 - 75.0,3,2,Sales Executive,4,Divorced,0.0 - 5000.0,6750.0 - 13500.0,2,Y,False,6.0 - 12.0,3,3,80,1,8,3,2,5,2,0,3
28,0.0,Travel_Rarely,857,Research & Development,10,3,Other,1,3,Female,50.0 - 75.0,3,2,Research Scientist,3,Single,0.0 - 5000.0,6750.0 - 13500.0,3,Y,False,12.0 - 19.0,3,4,80,0,10,4,4,8,7,1,7
43,0.0,Travel_Frequently,957,Research & Development,28,3,Medical,1,2,Female,50.0 - 75.0,4,1,Research Scientist,3,Single,0.0 - 5000.0,13500.0 - 20249.0,4,Y,False,6.0 - 12.0,3,4,80,0,18,2,3,3,2,1,2
